decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
global,144,0.003,12,100,0,200,10,3,5,3,False,2.3668970830040053,0,0,0.0,13,8784,{}
sliding,144,0.003,12,100,0,200,10,3,5,3,False,5.9452754580415785,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.003,12,100,0,200,10,3,5,3,False,4.189677916991059,2,2,0.02,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 4}"
oracle,144,0.003,12,100,0,200,10,3,5,3,False,0.5504419580101967,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
global,144,0.004,12,100,1,200,10,3,5,3,False,4.092738417035434,0,0,0.0,13,8784,{}
sliding,144,0.004,12,100,1,200,10,3,5,3,False,7.197122125013266,0,5,0.05,13,8784,"{""sliding_width"": 3}"
parallel,144,0.004,12,100,1,200,10,3,5,3,False,5.771342249994632,10,11,0.11,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 20}"
oracle,144,0.004,12,100,1,200,10,3,5,3,False,0.6756794999819249,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
global,144,0.005,12,100,2,200,10,3,5,3,False,10.294018165965099,0,5,0.05,13,8784,{}
sliding,144,0.005,12,100,2,200,10,3,5,3,False,8.322468290978577,0,15,0.15,13,8784,"{""sliding_width"": 3}"
parallel,144,0.005,12,100,2,200,10,3,5,3,False,7.961105583992321,29,32,0.32,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 61}"
oracle,144,0.005,12,100,2,200,10,3,5,3,False,0.7900722500053234,0,1,0.01,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
